"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
21,0.320141342756184,988.107694028073,21
20,0.320141342756184,2062.69238245725,20
13,0.290198590647021,1068.04863391989,13
9,0.290570878768441,74.8136519473876,9
14,0.303010033444816,285.682696226916,14
1,0.203047960555805,0,1
10,0.29244673983215,591.047051646414,10
16,0.313494809688581,1323.26596899888,16
1,0.178416699487987,0,1
4,0.217057977958793,187.776664580444,4
19,0.312629399585921,1942.85867377988,19
11,0.276388041488713,887.375830202912,11
23,0.3196894848271,1138.02049857601,23
6,0.261095100864553,144.261357452663,6
11,0.274711946634324,820.405342400357,11
4,0.244204851752022,46.5850232249122,4
20,0.313061506565308,690.014022161854,20
1,0.179122182680902,0,1
2,0.199823555359506,452,2
11,0.278426551936079,240.589632231548,11
10,0.271420011983223,1329.55384257259,10
1,0.157019064124783,0,1
8,0.260195290063182,201.983036407337,8
7,0.2663139329806,173.302649381992,7
14,0.300198807157058,1137.1201011534,14
