Wavelength	Amplitude_1	Amplitude_2	Amplitude_3	Amplitude_4	Amplitude_5	Amplitude_6	Amplitude_7
1132	-1.38	-1.364	-0.718	-0.526	-18.232	-3.347	96.83533333
1133	-1.663333333	3.129	3.249	1.895	8.87	6.262	96.716
1134	0.867	2.0215	-2.443	-4.925	-13.98	2.932	81.08866667
1135	2.701666667	-2.8705	-3.633	3.367	7.322	4.897	84.32933333
1136	-1.959666667	-0.3695	-0.843	-1.593	-2.504	11.493	76.57066667
1137	-1.386333333	0.263	3.272	5.655	-2.404	-5.438	70.06533333
1138	-0.850666667	-3.299	0.1765	0.558	-6.446	1.363	65.23133333
1139	-2.105666667	-1.83	3.1075	-6.271	7.23	2.957	64.64666667
1140	-1.882	-2.0305	1.4115	2.084	-3.678	3.787	63.044
1141	-0.815666667	-0.5595	2.037	12.547	0.758	3.126	58.972
1142	-2.600333333	-0.7875	-2.292	-1.466	-6.172	5.001	53.92866667
1143	0.258	2.184	0.2815	3.977	-1.946	7.409	49.43
1144	0.33	1.5445	-0.565	1.986	13.312	-2.978	46.00266667
1145	1.459	4.139	3.5345	-1.25	2.916	0.853	39.2
1146	-2.517666667	2.038	0.153	1.209	7.664	4.198	33.62533333
1147	0.973666667	2.5735	0.387	5.317	2.654	-5.378	35.642
1148	-1.419333333	0.0545	-0.0645	-5.65	3.72	8.489	31.84266667
1149	-2.406666667	-1.881	1.3255	-0.187	11.552	-0.413	30.29333333
1150	0.008	3.0295	-1.781	-0.638	1.528	4.009	30.67066667
1151	0.291	-1.208	2.191	-3.212	-17.34	0.034	25.938
1152	0.527666667	0.212	2.2865	-9.998	-11.912	-3.225	26.61533333
1153	-1.596333333	1.206	0.2255	-0.417	-2.814	-0.201	21.28866667
1154	-1.551666667	1.288	1.255	-5.709	4.014	3.518	25.11866667
1155	-0.211666667	0.2605	0.0615	-2.614	-4.71	9.631	12.45
1156	-2.003333333	-3.0845	-2.2515	11.022	-3.356	-4.807	18.64533333
1157	-0.227333333	0.618	-2.041	0.949	-8.182	-1.894	12.118
1158	1.050333333	-0.638	0.7645	-7.718	-10.17	0.12	17.79533333
1159	-1.496	-0.3705	-4.4595	7.34	-23.48	4.33	7.858666667
1160	0.610333333	0.0355	1.342	2.055	-4.65	6.418	15.78466667
1161	0.017333333	1.081	-0.7965	-9.508	-9.314	2.363	7.733333333
1162	-1.882333333	0.1025	-1.738	6.431	-1.85	-7.868	10.68533333
1163	-1.202666667	-0.598	1.1965	-2.019	-1.928	-1.785	5.854666667
1164	0.607333333	-3.039	-2.4905	-5.232	6.002	-4.265	11.36066667
1165	2.451666667	1.6185	0.4465	0.237	-11.826	4.219	12.068
1166	2.727	2.332	-0.426	-0.08	-0.396	14.684	3.468666667
1167	0.617	0.4295	2.4445	-7.042	-5.972	0.549	2.100666667
1168	-3.165	2.489	4.603	-1.657	10.18	3.526	9.186
1169	-2.336666667	-0.054	0.09	-5.732	-5.93	-11.571	5.920666667
1170	-2.868666667	-1.0695	5.893	-7.209	17.614	3.093	4.02
1171	-0.608666667	-3.702	-0.311	-2.151	3.536	3.164	1.592666667
1172	0.108333333	0.254	1.5195	-0.406	3.652	0.598	5.576666667
1173	-0.179333333	-1.7765	6.7695	-4.721	-7.272	0.635	5.964
1174	1.125333333	-4.75	4.816	4.133	16.786	-1.546	-1.213333333
1175	1.308333333	0.2695	1.221	-4.355	16.828	2.769	7.771333333
1176	-4.173666667	1.986	2.529	4.116	-3.346	8.408	1.553333333
