处方编号,处方组成
P0215,当归、川芎、白芍、生地黄、苍术、厚朴、陈皮、茯苓、半夏、羌活、独活、桔梗、枳壳、前胡、柴胡、干姜、肉桂、甘草
P0216,蒲公英、金银花、茯苓、薏苡仁、牛膝、当归、贝母、穿山甲、甘草、紫花地丁
P0217,桃仁、红花、大黄、川芎、山楂、当归、白芍、生地黄
P0218,当归、芍药、茯苓、白术、柴胡、牡丹皮、栀子、甘草
P0219,川芎、当归、白芍、百合、荆芥
P0220,川芎、当归、白术、百合、荆芥
P0221,当归、白芍、知母、黄柏、秦艽、木瓜、忍冬藤、钩藤、天门冬、生地黄、威灵仙、何首乌
P0222,龟甲、鹿角、虎骨、何首乌、川牛膝、杜仲、锁阳、威灵仙、当归、黄柏、人参、羌活、白芍、白术、熟地黄、附子
P0223,山芝麻、乳香、没药、血竭
P0224,乳香、没药、降香、苏木、川乌、油松节、自然铜、地龙、水蛭、血竭、龙骨、土狗
P0225,当归、川芎、白芍、生地黄、苍术、厚朴、陈皮、茯苓、羌活、独活、桔梗、枳壳、前胡、柴胡、干姜、肉桂、甘草
P0226,阿胶、艾叶、芍药、生地黄、当归、干姜、川芎、甘草
P0227,古铜钱、自然铜、当归、川乌、乳香、没药、血竭
P0228,鳖甲、土鳖虫、生姜、自然铜、血竭、儿茶、乳香、没药、生地黄
P0229,没药、木鳖子、自然铜、骨碎补、水蛭、乳香、无名异、天茄子、松节、地龙、补骨脂、细辛、当归、川乌、朱砂、麝香、蒴藋根
P0230,独科栗子、桑白皮、雄黑豆、当归、补骨脂、没药、乳香、水蛭
P0231,苏木、定粉、芒硝
P0232,白秋霜
P0233,年久碎瓦片
P0234,当归、甘草、没药、肉桂、乳香、泽兰、自然铜
P0235,夜合树、白芥子
P0236,降香、苏木、自然铜、没药、乳香、川乌、草乌、龙骨、虎骨、全蝎、血竭、骨碎补、水蛭、地龙
P0237,古铜钱、乳香、甜瓜子
P0238,土鳖虫、乳香、没药、龙骨、自然铜、麝香
P0239,独活、川牛膝、续断、杜仲、萆薢、防风、甘草、乳香、没药
P0240,莴苣子
