"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760","Bacteria","Firmicutes","CFGB3068","OFGB3068","FGB3068","GGB9760",5,3,"",0.00344638669717453,0.000355661321533886,-9.05546063060624,2.01372181933281,6.89586446341396e-06,0.00157956969452015,0.000116751754860142,2.25501170012283e-06,0.00604474569341709,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9710","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9710",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB79770","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB79770",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3627","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3627",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__GGB6513","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","GGB6513",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB4616|o__OFGB4616|f__FGB4616|g__GGB3126","Bacteria","Firmicutes","CFGB4616","OFGB4616","FGB4616","GGB3126",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76515|o__OFGB76515|f__FGB76515|g__GGB3118","Bacteria","Firmicutes","CFGB76515","OFGB76515","FGB76515","GGB3118",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB27106","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB27106",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1347|o__OFGB1347|f__FGB1347|g__GGB3289","Bacteria","Firmicutes","CFGB1347","OFGB1347","FGB1347","GGB3289",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Heritagella","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Heritagella",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB4623|o__OFGB4623|f__FGB4623|g__GGB9525","Bacteria","Firmicutes","CFGB4623","OFGB4623","FGB4623","GGB9525",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Verrucomicrobia|c__CFGB2164|o__OFGB2164|f__FGB2164|g__GGB6132","Bacteria","Verrucomicrobia","CFGB2164","OFGB2164","FGB2164","GGB6132",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950|f__FGB2950|g__GGB9291","Bacteria","Firmicutes","CFGB2950","OFGB2950","FGB2950","GGB9291",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9677","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB9677",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB39037","Bacteria","Firmicutes","CFGB1359","OFGB1359","FGB1359","GGB39037",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Paraeggerthella","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Paraeggerthella",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76158|o__OFGB76158|f__FGB76158|g__GGB52002","Bacteria","Firmicutes","CFGB76158","OFGB76158","FGB76158","GGB52002",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3034","Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3034",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Extibacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Extibacter",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB10485","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","GGB10485",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3226","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3226",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260|g__GGB29535","Bacteria","Firmicutes","CFGB1260","OFGB1260","FGB1260","GGB29535",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB9361","Bacteria","Actinobacteria","CFGB2987","OFGB2987","FGB2987","GGB9361",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptacetobacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2863|o__OFGB2863|f__FGB2863|g__GGB45495","Bacteria","Firmicutes","CFGB2863","OFGB2863","FGB2863","GGB45495",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503|g__GGB9790","Bacteria","Firmicutes","CFGB45503","OFGB45503","FGB45503","GGB9790",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Paralachnospira","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Paralachnospira",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3004","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3004",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB75985|o__OFGB75985|f__FGB75985|g__GGB9523","Bacteria","Firmicutes","CFGB75985","OFGB75985","FGB75985","GGB9523",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1303|o__OFGB1303|f__FGB1303|g__GGB3124","Bacteria","Firmicutes","CFGB1303","OFGB1303","FGB1303","GGB3124",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262|f__FGB1262|g__GGB3061","Bacteria","Firmicutes","CFGB1262","OFGB1262","FGB1262","GGB3061",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB32900","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB32900",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Neoruminococcus","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Neoruminococcus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB2999","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB2999",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3204","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3204",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3341","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3341",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4559","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4559",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4549","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4549",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626|f__FGB31626|g__GGB4676","Bacteria","Firmicutes","CFGB31626","OFGB31626","FGB31626","GGB4676",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB13727","Bacteria","Candidatus Melainabacteria","CFGB2107","OFGB2107","FGB2107","GGB13727",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1355|o__OFGB1355|f__FGB1355|g__GGB3306","Bacteria","Firmicutes","CFGB1355","OFGB1355","FGB1355","GGB3306",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2947|o__OFGB2947|f__FGB2947|g__GGB38716","Bacteria","Firmicutes","CFGB2947","OFGB2947","FGB2947","GGB38716",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104|o__OFGB2104|f__FGB2104|g__GGB5988","Bacteria","Candidatus Melainabacteria","CFGB2104","OFGB2104","FGB2104","GGB5988",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB618|o__OFGB618|f__FGB618|g__GGB1455","Bacteria","Bacteroidetes","CFGB618","OFGB618","FGB618","GGB1455",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB9775","Bacteria","Firmicutes","CFGB3070","OFGB3070","FGB3070","GGB9775",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930|f__FGB2930|g__GGB9252","Bacteria","Firmicutes","CFGB2930","OFGB2930","FGB2930","GGB9252",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9444","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9444",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9545","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9545",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB667|o__OFGB667|f__FGB667|g__GGB1662","Bacteria","Bacteroidetes","CFGB667","OFGB667","FGB667","GGB1662",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76445|o__OFGB76445|f__FGB76445|g__GGB33665","Bacteria","Firmicutes","CFGB76445","OFGB76445","FGB76445","GGB33665",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881|f__FGB2881|g__GGB9185","Bacteria","Firmicutes","CFGB2881","OFGB2881","FGB2881","GGB9185",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3451","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB3451",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Fournierella","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Fournierella",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilimicrobiota","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Massilimicrobiota",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB12794","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","GGB12794",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__GGB9575","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","GGB9575",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB79118","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB79118",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB9580","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB9580",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Neoanaerotignum","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Neoanaerotignum",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Tropherymataceae|g__Tropheryma","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Tropherymataceae","Tropheryma",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183|f__FGB40183|g__GGB42389","Bacteria","Firmicutes","CFGB40183","OFGB40183","FGB40183","GGB42389",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3576","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3576",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Pseudoscilispira","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Pseudoscilispira",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Pseudoruminococcus","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Pseudoruminococcus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__GGB80093","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","GGB80093",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9739","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9739",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102|f__FGB76102|g__GGB3548","Bacteria","Firmicutes","CFGB76102","OFGB76102","FGB76102","GGB3548",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9620","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9620",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9694","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","GGB9694",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__GGB3263","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","GGB3263",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__GGB3677","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","GGB3677",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009|f__FGB3009|g__GGB31234","Bacteria","Firmicutes","CFGB3009","OFGB3009","FGB3009","GGB31234",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilicoli","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Massilicoli",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Metaruminococcus","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Metaruminococcus",1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9532","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9532",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4255","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","GGB4255",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106|o__OFGB2106|f__FGB2106|g__GGB5980","Bacteria","Candidatus Melainabacteria","CFGB2106","OFGB2106","FGB2106","GGB5980",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9640","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9640",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000|f__FGB76000|g__GGB4271","Bacteria","Firmicutes","CFGB76000","OFGB76000","FGB76000","GGB4271",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB4312","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","GGB4312",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB9425","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9425",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3032","Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3032",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Timburyella","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Timburyella",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__GGB9832","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","GGB9832",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4243","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","GGB4243",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9582","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","GGB9582",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinatimonas",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptostreptococcus",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB1497","Bacteria","Bacteroidetes","CFGB635","OFGB635","FGB635","GGB1497",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76639|o__OFGB76639|f__FGB76639|g__GGB2658","Bacteria","Firmicutes","CFGB76639","OFGB76639","FGB76639","GGB2658",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942|f__FGB2942|g__GGB9278","Bacteria","Firmicutes","CFGB2942","OFGB2942","FGB2942","GGB9278",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Tenericutes|c__CFGB1789|o__OFGB1789|f__FGB1789|g__GGB4754","Bacteria","Tenericutes","CFGB1789","OFGB1789","FGB1789","GGB4754",0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
