"","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_4304",2,20,4,4,1,3,2,6,3,0,0,0,2,4,0,1,4,8,3,0,1,2,6,1,3,2,20,12,1,4,0,0,1,2,0,3,3,1,0,0,0,0,2,0,0,0,1,1,0,2,0,0,1,0,2,0,2,0,1,0,2,0,0,2,0,13,11,1,2,1,2,1,0,0,1,1,6,2,1,8,5,5,12,4,2,6,6,3,4,6
"OTU_41",98,9,0,5,2,4,3,6,3,3,1,1,4,2,6,4,6,1,5,2,1,3,7,4,7,2,1,3,4,1,6,4,36,26,5,7,3,1,1,2,6,5,7,9,5,5,7,13,9,10,5,6,7,9,5,0,2,7,5,5,21,8,13,4,5,3,6,200,893,339,26,9,6,4,3,4,16,7,8,10,7,5,30,3,15,37,11,8,8,20
"OTU_59",50,1,3,4,1,1,3,6,3,3,3,1,114,57,109,4,3,8,4,1,1,1,3,1,6,8,2,1,3,2,1,3,19,11,0,3,4,6,5,2,1,5,7,9,3,10,7,4,10,11,9,9,7,7,15,7,4,7,6,5,449,99,86,5,11,26,25,430,355,527,141,204,173,1005,378,219,305,21,56,94,158,217,43,47,25,182,109,26,34,349
"OTU_792",3,2,3,0,4,2,22,15,14,9,10,2,0,0,2,2,0,6,1,3,1,1,13,8,2,1,1,1,2,7,2,2,0,4,6,3,2,0,1,3,2,2,2,1,5,2,1,1,2,2,2,0,1,0,1,0,5,2,1,0,3,1,0,0,0,2,5,3,2,1,0,3,2,2,3,0,2,5,2,3,1,11,3,4,3,3,3,4,7,2
"OTU_2733",16,67,22,24,44,16,21,20,45,5,3,8,1,2,4,4,0,1,75,29,39,85,4,4,1,2,83,5,0,4,1,3,2,3,2,3,1,2,4,1,0,2,0,4,0,0,1,1,0,1,1,0,2,2,1,2,1,2,2,0,1,0,3,0,0,8,9,10,4,1,1,1,1,3,0,2,2,3,2,1,1,15,12,3,1,0,1,0,8,1
"OTU_1844",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_609",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,2,1,2,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,4,3,0,2,1,1,1,2,3,1,1,0,7,2,151,124,75,0,1,2,2,5,0,0,1,2,1,0,1,0,5,2,3,24,2,0,6,1,0,6,3,7,2,36
"OTU_2563",0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,10,3,5,0,1,0,0,10,3,0,0,0,0,1,4,1,0,4,3,0,0,2,0,0,1,2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"OTU_6273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,2,0
"OTU_1069",16,13,6,5,3,4,2,41,2,6,1,1,0,1,3,4,1,18,2,2,1,7,6,3,3,0,3,7,1,1,3,0,1,1,0,1,3,2,0,1,3,0,0,1,6,0,2,8,2,14,0,0,2,0,1,1,5,3,15,27,1,2,0,0,0,2,0,6,0,0,0,0,1,2,0,2,4,2,0,0,0,4,5,0,2,6,1,1,3,1
"OTU_5789",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_6231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2753",3,0,0,1,0,3,0,0,7,0,0,1,0,0,5,0,0,1,2,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,4,0,4,1,0,0,2,4,0,18,38,0
"OTU_3210",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6,0,2,3,1,7,0,3,0,0,3,0,4,14
