OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1162	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0	1	11	3	2	0	5	3	1	6	6	3	0	6	1	3	2	1
ASV_1260	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	1	5	4	2	3	1	1	6	1	2	2	3	7	2	1	3	7	3
ASV_1270	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	2	5	4	3	2	4	3	2	5	3	1	1	4	3	4	2	4	2
ASV_1296	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unassigned	4	3	0	1	0	0	3	8	6	2	2	3	1	3	0	5	10	3
ASV_1329	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Chryseolinea	Chryseolinea_serpens	3	1	0	2	0	1	2	7	3	3	3	1	5	5	6	3	6	3
ASV_1342	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	1	2	2	1	0	1	6	2	4	5	3	3	1	7	5	3	4	4
ASV_1364	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	Nannocystis_exedens	0	5	1	2	0	2	3	3	5	1	1	7	2	0	4	3	4	11
ASV_1380	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	6	2	1	3	2	0	3	3	5	3	3	9	4	1	2	3	2	2
ASV_1448	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Unassigned	Unassigned	6	1	0	1	0	4	2	4	0	7	4	3	6	4	2	7	0	3
ASV_1540	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta	4	3	2	1	3	6	2	6	3	0	0	3	5	1	4	4	6	1
ASV_1626	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	Unassigned	5	10	0	2	0	1	5	9	2	4	2	5	0	2	2	1	2	2
