"","Healthy01","Healthy02","Healthy03","Healthy04","Healthy05","Healthy06","Healthy07","Healthy08","Healthy09","Healthy10","Healthy11","Healthy12","Healthy13","Healthy14","Healthy15","Healthy16","Healthy17","Healthy18","Healthy19","Healthy20","Healthy21","Healthy22","Healthy23","Healthy24","Healthy25","Healthy26","Healthy27","Healthy28","Healthy29","Healthy30","Patients01","Patients02","Patients03","Patients04","Patients05","Patients06","Patients07","Patients08","Patients09","Patients10","Patients11","Patients12","Patients13","Patients14","Patients15","Patients16","Patients17","Patients18","Patients19","Patients20","Patients21","Patients22","Patients23","Patients24","Patients25","Patients26","Patients27","Patients28","Patients29","Patients30"
"Species111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936198219538161,0,0,0,0,0,0
"Species119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273938679243012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174142969188337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175551338556636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390202488035513,0,0,0,0,0,0,0,0
"Species122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158255104456155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185151544080703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species123",0,0,0,0.0261144860972787,0,0,0,0,0,0,0,0,0,0,0.125879865290294,0,0.0649097700466316,0,0,0,0,0,0,0.0561425643579418,0.060076244034797,0,0.00986232043371087,0,0,0,0,0,0,0,0,0,0,0,0.0165959201237409,0,0,0,0,0,0,0,0,0,0,0,0.344717258869888,0.0350274791585367,0,0.0285085360602419,0,0,0,0,0,0.0012051059725434
"Species124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171845373313406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103305796366589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114928083513096,0,0,0,0,0,0.00146405436333785
"Species126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132965260551906,0,0.380451211568648,0.0703662596659859,0,0,0,0,0,0.00249495301100201,0.115333942913449,0,0.0113415098883091,0,0,0,0,0,0,0,0,0,0,0,0.0822167402640314,0.388561585211024,0,0,0,0,0,0,0,0,0,0,0.0413375292930572,0.402145897387242,0,0.526263327003189,0,0,0,0,0,0
"Species127",0,0.747479574564266,0,0,0.187635213404173,0,0,0.010591140697899,0,0.135994904409618,0,0.0179290424800039,0.692073749870921,0.0177332710585242,4.33888206582362,0,1.21481743374265,3.44289374950039,0,0.0595309806930192,0,0.277704856464825,0.0556179703407122,2.91539921264142,1.53776001141668,0.0231973232649247,0.103242517071446,13.8916910739528,0,0,0,0.00715616012387259,0.0419509108042103,0,0.0291915318662392,1.99795081329054,1.44162873888086,0,2.97028385628951,15.6965179036506,0.0666587517773843,3.26828050651591,5.19349907976154,0.114085398395539,0.369497438220663,6.89191261470095,0,0,0,0,0.914133565283063,0.116772673864639,0.0755766958573234,3.15790737956054,1.22780357801831,0,1.86785579192169,0,0.472115410780687,18.979695363321
"Species128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323036793845905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
