"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB45702","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4570",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930|f__FGB2930|g__GGB92532","Bacteria","Firmicutes","CFGB2930","OFGB2930","FGB2930","GGB9253",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__GGB797582","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","GGB79758",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76398|o__OFGB76398|f__FGB76398|g__GGB92892","Bacteria","Firmicutes","CFGB76398","OFGB76398","FGB76398","GGB9289",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB95282","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9528",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1012|o__OFGB1012|f__FGB1012|g__GGB26572","Bacteria","Firmicutes","CFGB1012","OFGB1012","FGB1012","GGB2657",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96112","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9611",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bariatricus2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bariatricus",1,0,"",9.1e-07,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__GGB33532","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales unclassified","GGB3353",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB92002","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9200",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteria_unclassified|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB93642","Bacteria","Bacteria unclassified","CFGB2987","OFGB2987","FGB2987","GGB9364",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera2","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",1,0,"",0.00102332,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Murimonas2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Murimonas",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB35473|o__OFGB35473|f__FGB35473|g__GGB11022","Bacteria","Bacteroidetes","CFGB35473","OFGB35473","FGB35473","GGB1102",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales unclassified","Aquabacterium",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB15782","Bacteria","Bacteroidetes","CFGB642","OFGB642","FGB642","GGB1578",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB304552","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","GGB30455",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter2","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB95332","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9533",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB544|o__OFGB544|f__FGB544|g__GGB11232","Bacteria","Bacteroidetes","CFGB544","OFGB544","FGB544","GGB1123",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB24868|o__OFGB24868|f__FGB24868|g__GGB441172","Bacteria","Bacteroidetes","CFGB24868","OFGB24868","FGB24868","GGB44117",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB45672","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4567",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942|f__FGB2942|g__GGB92882","Bacteria","Firmicutes","CFGB2942","OFGB2942","FGB2942","GGB9288",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB97102","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9710",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB797702","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB79770",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB36272","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3627",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__GGB65132","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","GGB6513",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB4616|o__OFGB4616|f__FGB4616|g__GGB31262","Bacteria","Firmicutes","CFGB4616","OFGB4616","FGB4616","GGB3126",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76515|o__OFGB76515|f__FGB76515|g__GGB31182","Bacteria","Firmicutes","CFGB76515","OFGB76515","FGB76515","GGB3118",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB271062","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB27106",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1347|o__OFGB1347|f__FGB1347|g__GGB32892","Bacteria","Firmicutes","CFGB1347","OFGB1347","FGB1347","GGB3289",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Heritagella2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Heritagella",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB4623|o__OFGB4623|f__FGB4623|g__GGB95252","Bacteria","Firmicutes","CFGB4623","OFGB4623","FGB4623","GGB9525",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Verrucomicrobia|c__CFGB2164|o__OFGB2164|f__FGB2164|g__GGB61322","Bacteria","Verrucomicrobia","CFGB2164","OFGB2164","FGB2164","GGB6132",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950|f__FGB2950|g__GGB92912","Bacteria","Firmicutes","CFGB2950","OFGB2950","FGB2950","GGB9291",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB96772","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB9677",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB390372","Bacteria","Firmicutes","CFGB1359","OFGB1359","FGB1359","GGB39037",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Paraeggerthella2","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Paraeggerthella",1,0,"",1.33e-05,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76158|o__OFGB76158|f__FGB76158|g__GGB520022","Bacteria","Firmicutes","CFGB76158","OFGB76158","FGB76158","GGB52002",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB30342","Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3034",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Extibacter2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Extibacter",1,0,"",3.416e-05,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB104852","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","GGB10485",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas2","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",1,0,"",0.00027502,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",1,0,"",3.127e-05,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB32262","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3226",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260|g__GGB295352","Bacteria","Firmicutes","CFGB1260","OFGB1260","FGB1260","GGB29535",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB93612","Bacteria","Actinobacteria","CFGB2987","OFGB2987","FGB2987","GGB9361",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptacetobacter2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptacetobacter",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2863|o__OFGB2863|f__FGB2863|g__GGB454952","Bacteria","Firmicutes","CFGB2863","OFGB2863","FGB2863","GGB45495",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503|g__GGB97902","Bacteria","Firmicutes","CFGB45503","OFGB45503","FGB45503","GGB9790",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Paralachnospira2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Paralachnospira",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB30042","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3004",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB75985|o__OFGB75985|f__FGB75985|g__GGB95232","Bacteria","Firmicutes","CFGB75985","OFGB75985","FGB75985","GGB9523",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1303|o__OFGB1303|f__FGB1303|g__GGB31242","Bacteria","Firmicutes","CFGB1303","OFGB1303","FGB1303","GGB3124",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262|f__FGB1262|g__GGB30612","Bacteria","Firmicutes","CFGB1262","OFGB1262","FGB1262","GGB3061",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB329002","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB32900",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Neoruminococcus2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Neoruminococcus",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB29992","Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB2999",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB32042","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3204",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33412","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB3341",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB45592","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4559",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB45492","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB4549",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626|f__FGB31626|g__GGB46762","Bacteria","Firmicutes","CFGB31626","OFGB31626","FGB31626","GGB4676",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB137272","Bacteria","Candidatus Melainabacteria","CFGB2107","OFGB2107","FGB2107","GGB13727",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB1355|o__OFGB1355|f__FGB1355|g__GGB33062","Bacteria","Firmicutes","CFGB1355","OFGB1355","FGB1355","GGB3306",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2947|o__OFGB2947|f__FGB2947|g__GGB387162","Bacteria","Firmicutes","CFGB2947","OFGB2947","FGB2947","GGB38716",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104|o__OFGB2104|f__FGB2104|g__GGB59882","Bacteria","Candidatus Melainabacteria","CFGB2104","OFGB2104","FGB2104","GGB5988",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB618|o__OFGB618|f__FGB618|g__GGB14552","Bacteria","Bacteroidetes","CFGB618","OFGB618","FGB618","GGB1455",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB97752","Bacteria","Firmicutes","CFGB3070","OFGB3070","FGB3070","GGB9775",1,0,"",4.567e-05,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930|f__FGB2930|g__GGB92522","Bacteria","Firmicutes","CFGB2930","OFGB2930","FGB2930","GGB9252",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB94442","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9444",1,0,"",1.735e-05,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB95452","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB9545",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Bacteroidetes|c__CFGB667|o__OFGB667|f__FGB667|g__GGB16622","Bacteria","Bacteroidetes","CFGB667","OFGB667","FGB667","GGB1662",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76445|o__OFGB76445|f__FGB76445|g__GGB336652","Bacteria","Firmicutes","CFGB76445","OFGB76445","FGB76445","GGB33665",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881|f__FGB2881|g__GGB91852","Bacteria","Firmicutes","CFGB2881","OFGB2881","FGB2881","GGB9185",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB34512","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB3451",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Fournierella2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Fournierella",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilimicrobiota2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Massilimicrobiota",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB127942","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","Candidatus Saccharibacteria unclassified","GGB12794",1,0,"",7.1e-07,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia2","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia",1,0,"",1.23e-06,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__GGB95752","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","GGB9575",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus",1,0,"",5.813e-05,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB791182","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB79118",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB95802","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB9580",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Neoanaerotignum2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Neoanaerotignum",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Tropherymataceae|g__Tropheryma2","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Tropherymataceae","Tropheryma",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium2","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183|f__FGB40183|g__GGB423892","Bacteria","Firmicutes","CFGB40183","OFGB40183","FGB40183","GGB42389",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB35762","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3576",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella2","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Pseudoscilispira2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Pseudoscilispira",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Pseudoruminococcus2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Pseudoruminococcus",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__GGB800932","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","GGB80093",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB97392","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9739",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102|f__FGB76102|g__GGB35482","Bacteria","Firmicutes","CFGB76102","OFGB76102","FGB76102","GGB3548",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96202","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9620",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB96942","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","GGB9694",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__GGB32632","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","GGB3263",0,0,"",0,0,NA,NA,NA,NA,NA,NA,NA,""
