Genus	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	B28	B29	B30	B31	B32	B34	B35	B36	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C18	C19	C20	C21	C22	C23	C24	C26	D27	D28	D29	D30	D31	D32	D33	D34	D35	D36	D37	D38	D40	D41	D42	D44	D45	D46	D47	D48	D49	D50	D51	D52
Phaeosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0865	0.0401	0	0	0	0.0433	0	0.226	0	0	0	0	0	0	0.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0
Phlebiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0	0	0	0.29	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plectosphaerella	0	0	0	0	0	0.0435	0.0233	0	0	0	0	0	0	0.0467	0	0	0	0	0	0	0	0.0266	0.01	0	0	0	0	0	0.0969	0	0	0	0	0	0	0	0	0	0.02	0	0.00333	0.107	0	0	0	0	0	0	0	0	0.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0
Puccinia	0	0	0	0	0	0	0	0	0.377	0	0	0	0	0	0	0	0	0	0	0	0.0701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366	0.00333	0.0367	0	0.03	0.00999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Udeniomyces	0.0234	0	0	0	0	0	0	0	0	0	0	0.123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0702	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.00333	0.27	0	0	0	0	0	0
Pleospora	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0.0434	0	0.217	0.05	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.153	0.02	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0.00333	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0	0	0	0
Beauveria	0	0	0	0	0	0.01	0.0566	0	0.00334	0	0	0	0	0.0433	0.0133	0	0	0	0	0	0	0.0266	0	0	0	0	0	0.0467	0.0301	0	0	0	0	0	0	0	0	0	0.0166	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0533	0	0	0	0	0.0133	0	0	0	0	0.00333	0	0	0
Stemphylium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0567	0	0	0	0.143	0	0	0	0	0.15	0	0	0.0567	0	0	0.0133	0	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0.0999	0.0467	0	0
Gymnoascus	0	0	0	0	0	0.0134	0.0566	0	0	0	0	0	0	0.0533	0	0	0	0	0	0	0	0	0.00668	0	0	0	0	0.04	0.0301	0	0	0	0	0.01	0	0	0	0	0	0	0	0.0366	0	0	0	0	0	0	0	0	0	0.0532	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holtermanniella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466	0	0	0.00668	0	0	0	0.0334	0	0	0	0.05	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0	0.00333	0.59	0	0	0	0
Hypsizygus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377	0	0
Thermoascus	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0.167	0	0	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terana	0	0	0.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala	0	0	0	0	0	0.0167	0.00998	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.00665	0.00668	0	0	0	0	0.0701	0.0367	0	0	0	0	0	0	0	0	0	0	0	0.0133	0.0433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fuscoporia	0	0	0.186	0	0	0	0	0	0.0634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stephanonectria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0
Stereum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0.00999	0	0	0	0	0	0	0	0.00333	0	0.1	0	0	0	0.117	0	0	0	0	0	0	0	0	0	0	0	0.0167	0.0667	0	0	0	0	0	0	0.184	0.00333	0.167	0	0.00333	0.0167	0.0167	0	0.13	0	0.00333	0.0966	0	0.0835	0	0	0	0	0	0	0.00333	0.00999	0.02	0	0
Kernia	0.123	0	0	0.0133	0	0.00669	0	0.03	0.0634	0.0467	0	0	0.0233	0	0.0567	0.0566	0	0	0.511	0	0	0.0133	0.1	0	0	0	0	0	0.01	0	0	0.06	0	0.0167	0.13	0	0	0	0.00333	0	0	0.0167	0	0.0667	0	0	0	0	0	0	0	0	0.00668	0	0.0267	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.07	0	0	0	0	0	0.0533	0.25	0	0	0	0.0634	0	0	0	0	0	0	0.243	0
Lachnum	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lasiodiplodia	0	0	0	0	0	0	0.0732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.0267	0	0.00333	0	0	0.01	0	0	0	0.00333	0	0	0.0233	0.0366	0	0	0	0	0	0	0	0	0.0233	0	0	0	0.0233	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0.297	0	0	0	0	0	0	0	0	0	0
Ischnoderma	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Setophaeosphaeria	0	0	0	0	0	0	0.0599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.00668	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.06	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0
Phyllactinia	0	0	0.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0334	0	0.00665	0.0133	0.00334	0.00667	0.00333	0	0	0.00333	0.00334	0.00333	0.00666	0.00667	0	0	0	0	0	0	0	0	0	0	0.0933	0	0	0	0	0	0	0	0.00333	0	0	0	0.00333	0	0	0.0233	0	0	0.00333	0.0767	0	0	0	0	0.03	0.964	0	0.583	0	0.12	0	0	0	0	0.206	0.00334	0.56	0
Stilbella	0	0	0	0	0	0.0535	0.0266	0	0	0	0	0.00333	0	0.06	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0.0367	0.0835	0	0	0	0	0.00667	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.0901	0	0.00666	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.00333	0	0	0
Polyporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vuilleminia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zygoascus	0	0	0	0	0	0	0	0	0	0.00334	0	0	0	0	0	0	0	0	0	0	0.0267	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966	0	0	0	0	0	0	0	0	0	0	0	0	0
Schizopora	0	0	0	0.00334	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0.417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phlebia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phlebiopsis	0	0	0	0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strelitziana	0	0	0	0	0.327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stropharia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sclerotinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0801	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thanatephorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyricularia	0	0	0.0766	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00998	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrenochaeta	0	0	0	0	0	0.0502	0.136	0	0	0	0	0	0	0.0833	0.03	0	0	0	0	0	0	0.0333	0.0367	0	0	0	0	0.0367	0.12	0	0	0	0	0.0467	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0835	0	0	0	0	0	0	0	0	0	0	0
Pycnoporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichothecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0	0	0.0166	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0.303	0	0	0	0	0	0	0	0	0.0133	0	0	0
Resupinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomyces	0	0	0	0	0	0	0.0699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234	0.01	0	0	0	0	0.0401	0	0	0	0	0.00667	0	0	0	0.02	0	0	0.0433	0.0267	0	0	0.00333	0	0	0	0	0	0	0	0	0	0.0133	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0.00999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sordaria	0	0	0	0	0	0.0268	0	0	0	0	0	0	0.0533	0.0233	0	0	0	0	0	0	0	0.0133	0.00668	0	0.00333	0	0	0.0667	0.0468	0	0	0	0	0	0	0	0	0	0	0.00334	0	0.03	0	0	0	0	0	0	0	0	0	0	0.0634	0.203	0.00666	0	0.0233	0.00333	0.117	0.0366	0	0.0367	0	0.0166	0.0767	0	0	0.03	0	0	0.147	0	0	0	0	0	0.02	0	0	0.137	0	0	0	0	0	0	0.387	0	0	0	0	0	0.0267	0.0666	0.0234	0.287	0
Ustilago	0	0	0	0	0	0.0167	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vanrija	0.00334	0.00999	6.59	0.147	0.00667	0.00334	0.00333	0.00999	2.08	0.107	24.5	0.846	0.00667	0.0367	0.00334	0.00333	0.0233	53.2	0	0.02	0	0	0	0.01	0.00666	0	0.784	0.0667	0	0.00667	0.00667	0.29	0.00669	0.0434	0.32	48.8	0.583	0.0166	7.56	3.24	5.21	0.02	0.34	21.6	0.0333	0.00667	0.02	15.7	0.01	0.487	1.31	0.00333	0.314	0.37	0.0267	1.71	0.183	0.86	1.07	0.177	1.35	0.733	0.00666	1.35	0.0633	0.364	0.0167	0.237	1.69	0.01	0.384	0.537	3.92	0.17	4.58	0.75	0.406	0.686	0.16	27.3	0.85	18.2	0.33	0.393	2.02	0.825	1.73	2.4	2.88	0.0167	3.52	0.313	1.58	0.0533	0.143	2.06	1.97
Verticillium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sawadaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307
Tomentella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichaptum	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phellinus	0	0	0	0	0.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusicolla	0	0.00333	0	0	0	0.117	0.22	0	0	0	0	0	0	0.0467	0.13	0	0	0.00333	0.314	0	0	0.14	0.0902	0	0.00333	0.00333	0.00333	0.384	0.274	0	0	0	0	0.0701	0	0	0	0	0	0	0.0233	0.217	0	0	0	0	0	0	0	0	0	0	0	0	0.0666	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0967	0.0401	0	0	0.03	0	0	0	0	0	0	0	0
Geastrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.314	0	0	0	0	0	0	0	0.0433	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.0667	0	0	0	0	0	0	0	0
Geotrichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137	0	0	0	0	0	0	0	0	0
Fibroporia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dothidea	0	0	0	0	0	0.0167	0.02	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entomocorticium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	0	0.00334	0	0	0	0	0.0334	0	0	0	0.01	0.0501	0.0133	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0.03	0	0.03	0.00667	0.00666	0	0	0	0	0	0	0.0667	0	0	0.0567	0	0	0	0	0	0	0.00333	0	0	0	0.0167	0	0	0	0.26	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0.0666	0.02	0	0
Eutypella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guehomyces	0.507	0.00666	0.266	0.00334	0.00667	3.87	8.06	0	0	0.0133	0.00334	0.00666	0.07	5.34	1.72	0.0233	0.0634	0	0.00667	0.00333	0.0133	0.935	1.26	0	0.00999	0.03	0.0133	6.02	13.9	0	0.01	0.00667	0.659	0.31	0	0.00334	0.05	0	0.00333	0	0.357	8.15	0.05	0	0.00333	0	0.00666	0.00333	0	0.00333	0.00333	0.0599	0.0234	0	0.183	0	0.0333	0	0	0	0	0	0.02	0.479	0.02	0	0	0.293	0	0.423	0	0	0.00334	0	0	0	0.0666	0.0766	0.0767	0.0634	0	0	0	0.0833	0	0.124	0	0	0.0567	0	0	0	0.293	0.00666	0	0.18	0
Irpex	0	0	0	0	0	0.0134	0	0	0	0	0	0.273	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0	0	0	0	0	0	0	0	0	0.0999	0	0	0
Lacrymaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999	0	0	0	0	0	0	0	0	0	0.0898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepidosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0.0401	0	0.00333	0	0.0233	0.11	0.21	0	0	0	0	0	0.0467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.127	0	0	0	0	0	0	0	0	0.04	0.0167	0	0
Hyphodontia	0	0.256	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
