source,target,correlation,direct,cor
ASV_405,ASV_391,1,undirected,+
ASV_597,ASV_339,-1,undirected,-
ASV_332,ASV_210,1,undirected,+
ASV_246,ASV_252,-1,undirected,-
ASV_446,ASV_239,1,undirected,+
ASV_481,ASV_306,-1,undirected,-
ASV_295,ASV_276,1,undirected,+
ASV_356,ASV_273,1,undirected,+
ASV_1982,ASV_432,1,undirected,+
ASV_1843,ASV_315,1,undirected,+
ASV_842,ASV_290,1,undirected,+
ASV_477,ASV_353,1,undirected,+
ASV_698,ASV_367,1,undirected,+
ASV_458,ASV_297,1,undirected,+
ASV_373,ASV_255,1,undirected,+
ASV_1234,ASV_705,1,undirected,+
ASV_407,ASV_593,-1,undirected,-
ASV_493,ASV_444,-1,undirected,-
ASV_333,ASV_371,-1,undirected,-
ASV_313,ASV_573,-1,undirected,-
ASV_453,ASV_464,1,undirected,+
ASV_142,ASV_89,1,undirected,+
ASV_225,ASV_89,-1,undirected,-
ASV_465,ASV_89,1,undirected,+
ASV_256,ASV_89,1,undirected,+
ASV_419,ASV_89,-1,undirected,-
ASV_362,ASV_89,1,undirected,+
ASV_352,ASV_89,1,undirected,+
ASV_225,ASV_142,-1,undirected,-
ASV_465,ASV_142,1,undirected,+
ASV_256,ASV_142,1,undirected,+
ASV_419,ASV_142,-1,undirected,-
ASV_362,ASV_142,1,undirected,+
ASV_352,ASV_142,1,undirected,+
ASV_465,ASV_225,-1,undirected,-
ASV_256,ASV_225,-1,undirected,-
ASV_419,ASV_225,1,undirected,+
ASV_362,ASV_225,-1,undirected,-
ASV_352,ASV_225,-1,undirected,-
ASV_256,ASV_465,1,undirected,+
ASV_419,ASV_465,-1,undirected,-
ASV_362,ASV_465,1,undirected,+
ASV_352,ASV_465,1,undirected,+
ASV_419,ASV_256,-1,undirected,-
ASV_362,ASV_256,1,undirected,+
ASV_352,ASV_256,1,undirected,+
ASV_362,ASV_419,-1,undirected,-
ASV_352,ASV_419,-1,undirected,-
ASV_352,ASV_362,1,undirected,+
