ID,Color,HostFamily
KWS_10984__221,#FA7F6F,Firmicutes
IF_101__668,#FA7F6F,Firmicutes
IF_050__90,#FA7F6F,Firmicutes
KWS_10636__1032,#FA7F6F,Firmicutes
KWS_10657__496,#FA7F6F,Firmicutes
IF_122__169,#FA7F6F,Firmicutes
KWS_10644__422,#FA7F6F,Firmicutes
KWS_10648__422,#FA7F6F,Firmicutes
KWS_10465__50,#FA7F6F,Firmicutes
IF_128__160,#FA7F6F,Firmicutes
IF_024-2__958,#FA7F6F,Firmicutes
IF_099__624,#FA7F6F,Firmicutes
KWS_10657__402,#FA7F6F,Firmicutes
IF_164re__103,#FA7F6F,Firmicutes
KWS_10648__1126,#FA7F6F,Firmicutes
KWS_10661__238,#FA7F6F,Firmicutes
KWS_10656__95,#FA7F6F,Firmicutes
S_6G13__520,#FA7F6F,Firmicutes
KWS_10895__231,#FA7F6F,Firmicutes
IF_068__782,#FA7F6F,Firmicutes
IF_042-2__459,#FA7F6F,Firmicutes
IF_107__159,#FA7F6F,Firmicutes
KWS_10477__826,#FA7F6F,Firmicutes
IF_032-2__1061,#FA7F6F,Firmicutes
KWS_10461__1061,#FA7F6F,Firmicutes
S_7G16__175,#FA7F6F,Firmicutes
KeioHC_110__537,#FA7F6F,Firmicutes
IF_122__3310,#FA7F6F,Firmicutes
S_7G26__1605,#FA7F6F,Firmicutes
KWS_10638__900,#FA7F6F,Firmicutes
IF_019__277,#FA7F6F,Firmicutes
IF_117__1841,#FA7F6F,Firmicutes
S_6G14__490,#FA7F6F,Firmicutes
KWS_10477__129,#FA7F6F,Firmicutes
KWS_10452__385,#FA7F6F,Firmicutes
KWS_10992re__138,#FA7F6F,Firmicutes
S_7G3__342,#FA7F6F,Firmicutes
IF_025__409,#FA7F6F,Firmicutes
IF_124__43,#FA7F6F,Firmicutes
S_6G12__758,#FA7F6F,Firmicutes
S_6G4__325,#FA7F6F,Firmicutes
S_7G20__325,#FA7F6F,Firmicutes
KWS_10661__2458,#FA7F6F,Firmicutes
IF_122__389,#FA7F6F,Firmicutes
IF_167__1279,#FA7F6F,Firmicutes
S_6G10__168,#FA7F6F,Firmicutes
S_6G3__309,#FA7F6F,Firmicutes
IF_096__300,#FA7F6F,Firmicutes
IF_024-2__3239,#FA7F6F,Firmicutes
KWS_11000__688,#FA7F6F,Firmicutes
IF_072__688,#FA7F6F,Firmicutes
IF_162__688,#FA7F6F,Firmicutes
KWS_10998__25,#FA7F6F,Firmicutes
IF_091__104,#FA7F6F,Firmicutes
KeioHC_14__535,#FA7F6F,Firmicutes
S_7G8__535,#FA7F6F,Firmicutes
KWS_10639__283,#FA7F6F,Firmicutes
KWS_10480__987,#FA7F6F,Firmicutes
S_7G21__815,#FA7F6F,Firmicutes
S_7G31__2826,#FA7F6F,Firmicutes
S_7G32__2826,#FA7F6F,Firmicutes
KWS_10637__509,#FA7F6F,Firmicutes
KWS_10631__457,#FA7F6F,Firmicutes
IF_157__194,#FA7F6F,Firmicutes
KWS_10655__11,#FA7F6F,Firmicutes
S_6G15__884,#FA7F6F,Firmicutes
S_7G32__47,#FA7F6F,Firmicutes
IF_096__60,#FA7F6F,Firmicutes
KeioHC_109__508,#FA7F6F,Firmicutes
S_7G20__715,#FA7F6F,Firmicutes
S_7G26__1683,#FA7F6F,Firmicutes
S_7G15__394,#FA7F6F,Firmicutes
IF_173__1054,#FA7F6F,Firmicutes
IF_086__123,#FA7F6F,Firmicutes
S_7G30__262,#FA7F6F,Firmicutes
KWS_11006__269,#FA7F6F,Firmicutes
KWS_10452__477,#FA7F6F,Firmicutes
S_6G12__67,#FA7F6F,Firmicutes
KWS_10915__12871,#FA7F6F,Firmicutes
