ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_111	-0.883	11.112	0.00784624272462432	0.0639468782056882	Depleted	0.098	0.187	0.122	0.151	0.093	0.045	0.098	0.079	0.1	0.222	0.211	0.198	0.171	0.218
ASV_33	-0.704	13.094	0.00923112421299192	0.0716511069865563	Depleted	0.438	0.723	0.631	0.503	0.371	0.387	0.225	0.511	0.6	0.554	0.931	0.696	0.701	0.855
ASV_55	-0.856	12.685	0.00970642657820584	0.0719157969203433	Depleted	0.3	0.564	0.213	0.182	0.301	0.331	0.513	0.262	0.403	0.726	0.701	0.674	0.498	0.382
ASV_86	-1.171	11.666	0.0109887918899931	0.0778770903508207	Depleted	0.129	0.291	0.192	0.255	0.036	0.111	0.07	0.112	0.259	0.359	0.31	0.173	0.46	0.183
ASV_51	1.914	12.206	0.0118300339909649	0.0803456475219701	Enriched	0.474	0.129	0.488	0.313	1.693	0.021	0.111	0.219	0.143	0.137	0.202	0.052	0.157	0.085
ASV_54	1.014	12.261	0.0166157383631845	0.104668848043432	Enriched	0.424	0.211	0.363	0.78	0.278	0.292	0.393	0.44	0.254	0.069	0.191	0.146	0.376	0.232
ASV_17	0.541	13.862	0.0166956444731854	0.104668848043432	Enriched	1.162	0.806	1.344	0.839	0.898	1.14	1.142	1.611	0.916	0.826	0.771	0.85	0.731	0.74
ASV_40	-2.479	12.582	0.018369243535332	0.110895803565153	Depleted	0.116	0.65	0.009	0.12	0.016	0.18	0.365	0.008	2.483	0.161	0.05	0.124	0.693	0.388
ASV_10	0.798	14.362	0.0204398549011002	0.118989155317119	Enriched	1.736	1.014	1.125	1.018	1.799	2.015	2.651	1.81	0.924	1.566	0.687	0.721	1.419	0.767
ASV_657	-0.618	15.972	0.0220126667450831	0.123020949597981	Depleted	3.339	5.185	3.271	5.387	2.103	3.596	2.754	2.923	6.222	6.633	4.706	5.431	3.902	4.216
ASV_119	-0.862	11.001	0.0232915287061305	0.123020949597981	Depleted	0.092	0.171	0.125	0.081	0.169	0.077	0.034	0.066	0.105	0.214	0.166	0.22	0.187	0.131
ASV_206	1.463	11.059	0.0233966223161805	0.123020949597981	Enriched	0.2	0.073	0.055	0.053	0.153	0.761	0.096	0.085	0.03	0.082	0.061	0.091	0.092	0.085
ASV_34	-1.071	12.904	0.0258493264499327	0.131670006604345	Depleted	0.324	0.682	0.287	0.632	0.249	0.536	0.052	0.191	0.794	0.956	0.649	0.627	0.696	0.371
ASV_60	0.613	12.275	0.0269908209219849	0.133318297281319	Enriched	0.385	0.258	0.363	0.288	0.348	0.371	0.572	0.366	0.235	0.261	0.222	0.228	0.26	0.341
ASV_69	2.721	12.243	0.0303913080252884	0.140635305403491	Enriched	0.56	0.082	0.055	0.039	0.01	3.177	0.008	0.074	0.197	0.029	0.014	0.096	0.022	0.137
ASV_89	-0.673	11.359	0.0308450640330535	0.140635305403491	Depleted	0.13	0.211	0.168	0.19	0.099	0.098	0.083	0.142	0.116	0.243	0.191	0.278	0.195	0.243
ASV_88	2.399	11.556	0.0310605582486237	0.140635305403491	Enriched	0.34	0.062	0.283	0.42	0.016	0.053	0.005	1.263	0.143	0.032	0.036	0.118	0	0.041
ASV_427	-0.727	11.841	0.034078319931027	0.149959847397581	Depleted	0.177	0.297	0.171	0.224	0.257	0.162	0.106	0.145	0.335	0.275	0.252	0.165	0.412	0.341
ASV_91	2.114	11.092	0.0349599644239759	0.149959847397581	Enriched	0.229	0.053	0.555	0.204	0.179	0.31	0	0.129	0.03	0.04	0.003	0.187	0.054	0.005
ASV_70	0.95	11.899	0.0471358212259147	0.19700356050831	Enriched	0.334	0.172	0.287	0.12	0.153	0.257	0.197	0.993	0.146	0.129	0.252	0.165	0.16	0.177
ASV_107	0.508	11.218	0.0485167012577475	0.197705557625321	Enriched	0.179	0.128	0.198	0.159	0.158	0.186	0.148	0.224	0.095	0.092	0.177	0.154	0.127	0.123
ASV_93	-1.307	11.61	0.0521368510504376	0.200705371215686	NotSig	0.113	0.289	0.021	0.028	0.197	0.18	0.163	0.09	0.154	0.114	0.094	0.138	0.62	0.612
ASV_77	-0.616	11.809	0.0533746099925895	0.200705371215686	NotSig	0.184	0.287	0.305	0.187	0.171	0.178	0.083	0.18	0.213	0.267	0.396	0.303	0.217	0.325
ASV_137	0.502	11.082	0.053402076514687	0.200705371215686	NotSig	0.16	0.116	0.149	0.151	0.21	0.175	0.145	0.131	0.105	0.098	0.122	0.135	0.135	0.098
ASV_43	0.876	11.474	0.0546778812169203	0.200705371215686	NotSig	0.239	0.132	0.442	0.344	0.106	0.148	0.116	0.276	0.132	0.048	0.208	0.132	0.076	0.197
ASV_159	-1.035	10.596	0.055409458311079	0.200705371215686	NotSig	0.064	0.133	0.168	0.109	0.016	0.034	0.018	0.041	0.105	0.09	0.233	0.149	0.122	0.101
ASV_104	0.566	11.489	0.0574618322309473	0.203614753340096	NotSig	0.218	0.15	0.192	0.207	0.215	0.202	0.29	0.2	0.146	0.177	0.152	0.129	0.2	0.093
ASV_106	-0.81	10.746	0.0619161300737573	0.214730408553669	NotSig	0.079	0.139	0.159	0.087	0.055	0.08	0.049	0.044	0.224	0.079	0.155	0.217	0.062	0.098
ASV_8	-0.589	14.449	0.0661540741405339	0.22464821010223	NotSig	1.174	1.8	1.549	1.41	1.578	1.124	0.492	0.894	1.713	2.015	1.533	2.897	1.238	1.403
ASV_46	-0.501	12.514	0.0679490256277974	0.226034513823081	NotSig	0.318	0.455	0.399	0.341	0.218	0.451	0.179	0.317	0.351	0.539	0.48	0.506	0.371	0.483
ASV_109	-1.792	11.206	0.0697699983139794	0.227450194503573	NotSig	0.068	0.237	0.146	0.157	0.036	0.056	0.005	0.005	0.467	0.061	0.255	0.286	0	0.355
ASV_105	1.374	11.38	0.073566839684434	0.235125389579662	NotSig	0.236	0.098	0.116	0.05	0.104	0.164	0.828	0.153	0.011	0.026	0.083	0.069	0.138	0.259
ASV_162	0.696	10.556	0.0813563893711457	0.244973836934183	NotSig	0.117	0.073	0.131	0.126	0.153	0.138	0.031	0.123	0.078	0.037	0.128	0.05	0.057	0.09
ASV_22	0.393	13.066	0.0826776359039881	0.244973836934183	NotSig	0.633	0.494	0.597	0.571	0.807	0.639	0.588	0.593	0.419	0.465	0.643	0.44	0.441	0.557
ASV_140	0.526	10.976	0.083120944534097	0.244973836934183	NotSig	0.149	0.106	0.119	0.103	0.151	0.141	0.207	0.175	0.054	0.116	0.114	0.116	0.135	0.104
ASV_128	-0.496	10.74	0.083789732384226	0.244973836934183	NotSig	0.09	0.128	0.119	0.106	0.091	0.077	0.041	0.104	0.103	0.135	0.164	0.113	0.111	0.145
ASV_132	1.129	11.001	0.0841627906031549	0.244973836934183	NotSig	0.175	0.083	0.018	0.064	0.579	0.183	0.062	0.145	0.073	0.116	0.094	0.039	0.062	0.112
ASV_44	0.692	12.753	0.0900713768709411	0.249336354224675	NotSig	0.546	0.344	0.488	0.282	0.592	0.528	0.966	0.421	0.384	0.549	0.263	0.143	0.463	0.262
ASV_3	-0.492	15.314	0.0905730962246457	0.249336354224675	NotSig	2.207	3.169	1.728	1.286	2.331	2.392	3.169	2.335	2.807	4.74	2.824	3.302	3.255	2.089
ASV_85	0.788	11.664	0.0919521383216568	0.249336354224675	NotSig	0.268	0.153	0.165	0.294	0.132	0.249	0.207	0.561	0.113	0.082	0.133	0.102	0.368	0.12
ASV_72	-0.821	11.911	0.0920636006861641	0.249336354224675	NotSig	0.182	0.328	0.28	0.143	0.135	0.207	0.078	0.252	0.095	0.338	0.274	0.845	0.246	0.172
ASV_87	0.547	11.556	0.0933099239736512	0.249336354224675	NotSig	0.226	0.159	0.101	0.193	0.299	0.244	0.303	0.219	0.17	0.129	0.18	0.154	0.173	0.147
ASV_172	0.719	9.426	0.108210187904888	0.284488074653172	NotSig	0.05	0.031	0.094	0.073	0.018	0.037	0.028	0.052	0.022	0.013	0.05	0.025	0.027	0.049
ASV_62	0.576	12.303	0.114331782690883	0.295810802835142	NotSig	0.388	0.266	0.28	0.221	0.418	0.419	0.598	0.391	0.149	0.37	0.152	0.27	0.387	0.27
