Pathway	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
Pathway154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.60504202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677497298	0	0	0	0	0	0	0	0	0
Pathway156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.115899829	0	0	10.76706477	0	0	23.43082159	0	0	0	0	0	0	26.56216022	0	0	0	0	0	0	6.329454025	0	0
Pathway158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway159	4350.445917	1578.30355	1304.35661	6906.241309	3268.665109	2910.548658	6203.228378	8712.327855	11230.09584	7782.614229	3705.142398	6965.598705	11916.66933	5307.266441	4105.794428	1631.380263	1885.892869	4185.619117	3542.318224	4005.294422	4909.869884	29368.16008	15527.47437	5122.452096	15787.18586	90625.46155	15747.15559	5661.037012	4844.195146	6068.998384	5348.245957	1646.667288	9786.216515	6510.808276	6112.27038	8854.032424	4396.278724	7232.35596	6613.543799	1546.79502
Pathway160	53863.16082	16100.47011	12357.4562	84330.36278	51303.37877	43007.59519	37758.86873	76403.44954	81524.40651	42217.10733	29909.61104	69786.94346	130338.4694	72574.30825	59816.87089	19152.1825	11933.07665	32589.23505	55768.68761	59206.22029	47560.23115	134333.8073	94403.91417	44577.85678	119710.3099	321980.343	84164.75303	36649.1071	51462.93502	41631.16943	73434.88297	24317.98188	48251.87844	90121.86887	81173.93936	107233.3672	73670.68637	23896.20147	88281.21588	11568.65311
Pathway161	1501.334488	293.8372997	251.8477641	1908.632924	2242.842368	1119.97555	836.4117047	2754.096245	1456.467731	2084.517439	951.0366438	1487.404148	3093.259426	1639.338228	2114.317844	526.1424652	365.7781186	1038.671815	1330.525002	2004.202244	491.9130244	1093.141724	2919.274332	1033.51659	2049.102554	6946.805958	1331.267071	582.1210761	729.5710922	831.6116755	2903.757723	415.0852232	470.9687738	869.119506	931.54157	1115.943086	977.5364091	424.2983848	1841.59274	610.6927946
Pathway162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.392188435	0	0	0	0	0	12.620149	0	0	0
Pathway163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway164	1209.589748	348.4255935	194.5827187	2113.924255	1039.583449	898.31011	391.6678445	1221.94923	1006.000262	34.86258802	521.4818369	1109.077794	555.3375465	2495.143589	1427.980658	148.1160351	216.5182995	107.5200037	1190.506169	422.920652	576.7616593	386.5380254	36.37322088	123.1249709	245.6549481	118.969644	1156.712283	0	113.8900022	36.286971	8335.872501	404.4757726	323.5862121	748.5021718	2994.278111	2690.018819	882.5303461	18.27616178	2337.765199	66.21752482
Pathway165	0	0	6.938670792	7.204610951	4.322766571	63.21995783	19.41747573	0	105.409154	223.5610264	47.15672677	31.05277253	11.09570042	13.58720945	16.64355062	5.763688761	8.645533141	0	0	6.64255062	34.31233437	997.1524641	25.89623746	15.59172924	325.7615169	1135.750545	137.3140817	158.0409028	0	30.7290147	0	0	246.9048273	97.08737864	47.04690342	189.4150347	18.78835266	27.66756755	130.8394838	2.856459072
Pathway166	0	11.57855289	12.90877797	0	8.84086444	0	38.84474811	6.884681584	99.41242804	319.7096612	10.32702238	191.9399193	78.79025166	2.345462822	34.26838874	3.929273085	17.66781742	21.47594752	257.7392956	24.26222224	60.28345964	1356.661563	653.1862306	185.0175452	451.3915776	2819.12653	307.8958321	174.7013829	28.44763538	153.1650631	89.80693927	3.454040467	365.666721	173.2347948	105.2672658	256.2713784	31.78240256	128.0498595	41.8221269	0
Pathway167	52107.2057	17787.69765	10605.2016	78001.72469	47409.69445	41023.0387	38654.16549	58585.31608	56739.83517	29627.42931	30492.98155	62972.06726	67554.75766	70017.30811	54370.06041	14183.31801	15880.12001	26642.71389	54132.58894	54220.0604	40959.47873	30629.35415	55102.97313	27969.91242	77615.73987	78861.76913	42246.36954	23741.73135	36070.37125	28368.06785	115629.9637	35230.71614	29681.07748	65221.45639	76027.58485	84523.14873	67550.11715	13454.14201	76603.49564	11547.42755
Pathway168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway169	152.8407872	63.8901568	23.33149564	372.3901591	117.7090845	11.67368046	163.3765626	100.0165442	262.9097845	454.4043527	250.1902225	250.3738733	635.1242053	109.7293408	88.65592281	88.930104	51.74749234	113.4054706	223.4534306	22.6559222	137.7885045	2040.062133	536.9004335	309.8742187	1080.186992	2195.534345	375.3002661	323.8266671	192.7953005	201.2732592	475.3317221	81.22959114	528.4099512	164.8874062	128.0180153	985.4928989	103.8984886	233.3529554	580.7896903	50.66994099
Pathway170	15933.00008	4979.94666	3190.074725	26443.58198	15520.07864	13757.75064	16050.28101	22581.49589	18864.12615	11481.85786	10904.31981	23598.55232	31485.38239	22138.63988	17446.11216	4582.19565	4611.966727	7785.501878	14504.82308	2446.00206	13345.53737	9739.186587	18042.86765	12488.88333	25107.6556	36607.01953	12133.38425	7881.851672	15153.40911	9240.405946	12764.09846	9534.778353	7661.355989	18885.69715	19803.20246	21179.91513	19579.34921	5045.799274	21465.18417	3854.394656
Pathway171	839.5445118	941.7828704	415.732737	1703.3257	751.2826922	773.3395572	1429.589431	1969.123276	3324.35214	3526.206263	794.0365568	1986.56526	2483.992844	1693.139508	914.7659075	863.8869327	500.5955818	1632.296523	2879.919234	904.2659025	2337.539773	9242.194769	7893.147028	2743.268878	5160.466501	23234.50006	4685.374396	3226.774576	4011.314963	2400.884031	5272.793	604.5078678	3051.421661	2692.352195	2959.154965	4689.652055	2061.270716	1976.677243	2248.935471	302.265134
Pathway172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.761904762	0	0	0
Pathway174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway175	1792.398362	699.2569589	163.8429821	2248.529384	1247.251315	1538.318832	1189.384784	767.2545395	1751.016355	692.0168985	635.2671847	1728.881849	1409.237627	2135.468474	1933.738383	617.5442773	405.5710589	1502.386754	1613.883321	922.222222	2177.89885	498.8545102	5450.611815	2074.785143	4837.451256	2716.681537	2329.85035	1944.773897	3960.848414	1915.574111	3494.721696	504.6492836	928.0705686	2577.810478	2517.707198	3361.837879	2962.129835	1325.64437	3541.662548	361.4327608
Pathway176	3258.04321	1771.603962	3645.863765	4487.000291	8175.07847	2254.228021	6453.541569	29508.61698	13857.79713	7264.921503	4215.934683	4294.162601	59293.18005	5995.410044	5341.904125	2441.077956	1226.462996	3304.073935	3297.157134	5240.904025	1663.083272	30355.15165	5104.257032	3095.57305	13584.59118	50877.6952	9659.888068	3874.221873	3368.568431	4558.389418	2779.37748	1123.577721	7135.934917	5681.447075	4833.693075	15089.38979	2397.183043	2079.985309	10914.9394	1128.343554
Pathway177	113.6414623	195.4052658	124.154902	81.14819924	138.4390274	272.2402523	462.2940704	436.2033736	286.2112703	219.0801896	107.9401117	224.0251305	1886.209576	463.1153032	297.8401318	139.3931617	78.21002707	436.6262375	188.1176416	292.2400202	401.6771198	9.623177263	1192.471112	326.6753707	260.7621167	1365.285812	378.1696368	869.6171643	854.3639282	273.9966625	92.88643163	0	154.0906538	94.58937322	162.5316767	2.924967163	96.55024804	331.0829938	21.02953622	70.40015256
Pathway178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway179	3861.291911	1108.644366	952.0372781	5904.433539	5158.800608	3603.452142	2845.501819	5070.976506	4405.0768	2996.334708	2236.313692	4320.972439	9542.624466	7595.01951	6415.190502	1389.431342	883.2550972	1696.942433	3444.795789	6405.090502	2084.825265	4893.135725	3853.309869	1671.758811	3676.050662	10639.05906	4064.088615	1642.680742	910.415595	923.5903976	20850.67328	1102.092082	1642.256906	3433.995616	5555.193963	5705.019413	2720.889666	691.4396159	6100.164039	685.1109001
Pathway180	0	0	0	0	0	0	3.922424118	5.316741229	90.93944079	250.7115486	3.051734365	79.52690431	40.95123467	4.141144532	6.371182031	0	3.65047284	0	152.4938769	6.22002202	77.09418546	47.78746366	365.836139	187.7944778	98.73105323	1919.21226	424.4618606	210.8935382	38.91183979	165.6391098	37.70154537	0	208.9615077	111.3835795	105.0388757	40.83585372	75.28952554	38.85441528	62.87252543	5.014887025
Pathway181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway182	17886.86628	3937.051084	2145.537594	25625.71005	14824.42209	13671.38895	8792.004916	9823.407859	21365.84333	7929.352166	8450.430061	17768.2441	26697.13698	24116.90565	20839.72429	3169.573104	3194.29303	6016.912257	15866.65676	20229.22429	11280.18617	23162.783	15196.42413	7497.237831	24222.15239	49651.9228	17830.24964	6852.419402	11370.86899	8476.969596	24213.83869	10928.03537	10754.74926	24115.23698	24029.59436	28904.73052	21957.78919	3186.626948	26099.13525	2554.044745
Pathway183	1615.837096	506.9504107	308.902239	2238.547446	848.5505656	1019.731367	704.7488528	2391.047147	1419.978941	454.7170967	795.3086095	1800.70752	729.7242045	2311.618722	1173.224985	419.879097	294.6742865	1276.205245	1827.829853	22.224925	1707.770227	2001.476935	3740.990512	1676.746532	1786.061019	4642.938478	2413.681888	319.5808025	1239.607662	1038.040794	952.2025766	545.7068751	1831.391684	3237.928626	4105.908918	4121.52513	1984.324824	442.5727007	2984.50526	182.3746329
Pathway184	26355.19912	7653.584984	4611.018661	44720.15904	22174.53279	19671.43878	22724.01655	33285.01319	38929.49825	14444.66133	16963.89835	34643.76742	39158.55563	33198.84145	26085.43237	8040.299203	7496.998674	12818.675	29008.38455	26025.42222	24547.41854	39865.68396	28803.80692	15773.12424	48684.33794	81915.80573	25555.02517	8596.039289	16657.29073	17379.93573	20652.95174	20501.72757	18515.52583	40324.63701	40319.88511	44311.63508	36820.82826	6675.476752	39720.20897	5131.425646
Pathway185	39105.67975	16658.15002	11754.5051	59315.63308	44937.87338	28551.43188	31196.74529	56459.82851	65273.41858	43673.5711	24535.99786	50985.21424	132960.1749	62729.45567	47119.60964	16348.96052	11498.05504	22374.56298	43879.56705	42009.60964	32022.03056	96830.90785	53548.77421	34406.59281	73238.89876	242373.9997	61218.58138	29810.97326	38037.53828	29408.74991	58873.85075	22104.54819	38892.59693	62873.77331	64298.69721	81054.57918	48443.61267	14715.00218	60997.05346	8348.604094
Pathway186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway188	5555.455509	1125.674908	568.0393986	7292.650726	3617.392954	3748.020291	2550.996792	3672.357766	5557.824623	1448.678206	3233.981684	4901.662787	4761.886639	5482.725718	4849.051663	1025.872343	1160.433317	1958.956775	5076.316253	4249.050662	4484.830213	3332.881695	5101.689719	3294.082028	12734.34425	6904.390878	4254.766153	684.6818674	5862.975233	4410.802981	6502.818238	3219.914354	3201.543154	10908.49895	7159.933853	9431.954712	9305.755296	800.6666015	9487.688498	864.6485005
Pathway189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.46702676	0	0	0	0	0	0	3.516890604	0	0	0	0	0	0	0	0	0
Pathway190	19807.93259	6268.471586	4141.653493	31430.5075	17827.69222	12295.38588	13964.0927	29838.30499	30496.46278	10792.63256	11869.26217	25166.9389	52155.75294	28002.56087	17098.46887	6473.423724	6619.597178	12072.02794	19952.84872	2092.46222	18264.27328	26726.20059	26673.85746	12986.03166	35949.54781	42262.57349	19246.20285	11220.87622	20375.98273	12980.10071	17932.908	10107.84894	12869.98011	33218.91761	34820.54036	38716.73831	24751.8169	6699.897549	22973.8286	3969.29512
Pathway191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.854082851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.289374991	0	0	0	0	0	0	0	0	0
Pathway193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway194	11331.23062	2772.211881	2210.761011	16576.65269	10253.41319	8029.167091	6546.893756	12414.46183	23851.56924	13808.53819	5693.391335	12316.7198	32008.60015	17075.54876	13055.14297	3351.825441	2299.252774	5775.746968	13072.92514	2055.04292	9484.9939	55059.52172	19852.32441	8552.669267	30028.98475	135831.3618	30729.55683	9916.645178	7185.501959	9554.386925	31899.83757	5674.984358	16257.52572	23290.62536	23777.75173	28473.09396	13905.28331	4242.927621	20020.4432	1723.862128
Pathway195	98.28793902	18.00528811	46.73465028	216.6868272	8.84086444	0	89.86279015	23.28558028	552.6201016	786.5752705	126.5544617	375.0351419	258.1479188	65.35164103	99.12720838	20.82931265	17.66781742	32.5503438	448.957833	99.02220222	149.7484292	3820.862365	1208.533721	380.5168962	1388.613522	8294.507252	943.9142088	626.7973463	1503.342083	473.8929453	170.8749149	84.16185094	846.3372162	428.8037487	334.2414002	1079.35401	126.6350198	260.572852	539.746827	1.631147877
Pathway196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611877693	0	0	0	0	0	0	0	0	0
Pathway197	134.9787452	160.1965406	115.6698054	35.64480986	26.6941421	175.2695351	356.0421447	292.2220587	406.6755305	313.7809785	116.547915	211.5710513	223.9625812	147.5865998	283.5497933	75.2838644	22.51333019	87.05127233	159.4418268	222.5492922	31.26815458	1144.491375	36.51198688	25.70669354	719.1378523	3018.970231	499.712972	43.48273951	48.81587034	56.50609998	2677.512217	14.82479784	311.5591695	130.4347826	60.5941601	290.9429303	23.41137124	52.96433272	61.2235054	21.08777736
Pathway198	8936.814714	1816.608186	1299.602883	14030.84851	7524.278405	5457.974976	5301.782622	11306.75973	8642.149883	4021.951966	6033.021277	10417.55343	10432.5169	8275.163072	7420.878656	1807.702439	1551.851928	3701.369217	9421.733788	2420.222656	6580.879776	6057.273826	6922.152545	4587.56831	20085.45926	13217.71101	5932.526497	1202.941189	5609.655418	5855.292625	13097.73555	5803.689362	4973.704447	12487.3633	11401.19815	13927.61372	14669.59074	1454.360716	14671.67729	2002.083194
Pathway199	3189.035168	948.0016809	2193.828368	3761.670441	2079.171546	2098.982903	1745.869713	3267.279727	2462.413201	3265.72043	2837.187768	2745.53686	3144.17118	2925.442301	3306.156868	632.0100994	3284.792071	1059.209901	2130.94934	2206.056262	1898.483131	1517.819458	2808.175013	2932.913976	4727.9757	4264.673942	2499.431838	1983.713617	1733.972127	2419.705011	4852.52724	1101.978622	3185.212806	4180.806886	2434.201261	4276.762938	4191.970665	1256.44417	3265.405005	4371.414222
Pathway200	5555.455509	1112.065299	561.5357875	7287.046243	3608.585908	3700.040489	2537.518552	3671.4976	5463.130816	1398.949002	3225.329346	4890.82887	4760.505057	5481.8453	4836.254969	1009.915548	1159.648833	1940.348213	5051.373966	4226.254969	4455.247721	2811.762766	5049.424349	3273.075831	12554.2922	6170.65391	4135.429687	624.3840262	5849.345435	4348.782696	6493.1095	3210.952442	3074.50556	10866.90376	7125.297082	9376.758673	9264.626316	780.575671	9477.924331	851.4997838
Pathway201	2742.737652	836.9902513	680.5856181	3748.912994	2487.997295	2242.086082	2012.870774	2572.38508	4309.675626	4675.288777	1969.25501	4343.081961	7592.174175	4269.066374	3782.892391	716.8686769	889.2308181	1368.979544	3810.366449	2222.29229	2291.173736	16167.2661	6326.519405	3258.207716	7762.535863	40389.95084	7738.461116	2465.512195	1658.493915	2911.725691	3745.346465	1220.152727	4488.407252	4044.481243	4002.807845	5854.358118	3138.100287	1777.335913	3750.373497	876.7183809
Pathway202	1237.414428	118.8450589	393.4816435	1441.37038	1224.538271	799.8945347	871.6240158	2461.762363	2841.656146	706.0656804	494.2107903	1246.418724	10093.69907	1935.097646	1456.792277	399.3749645	250.7315224	374.7316061	521.577148	456.292222	500.6996282	5138.691757	470.6205577	545.3514676	3081.067201	10393.53758	2197.041485	518.7766325	397.8164127	699.1910697	380.3031807	278.9315967	1064.771659	1258.15837	1182.669233	3001.739217	975.706979	389.4354588	2767.045972	143.1519275
Pathway203	3393.289674	1545.186055	1904.450815	6580.853813	4373.502775	3122.228913	4777.318215	12653.23164	9667.823791	6758.887354	2927.462672	6463.77788	18463.5109	5989.349863	4457.288817	2036.761406	1454.730883	3331.222658	4345.150587	4452.222202	3357.483441	13377.30978	8983.358635	4079.053936	9468.065751	31097.38082	7302.342711	6249.098246	5490.796706	3616.968762	6753.189429	1528.241427	4734.750126	8111.619955	7317.605592	11416.65919	4942.961843	2373.353988	6296.939	1265.484429
Pathway204	8857.968702	2895.182864	2071.561851	13875.8376	9263.626771	7859.789069	7520.932651	12967.85109	15303.36709	7949.835419	5846.033971	12530.39731	23905.36125	13712.05515	9586.664739	3173.163629	2385.879629	5633.018412	8248.784533	9526.664229	8525.773098	27092.03746	16414.26305	8377.928457	14975.39191	55997.40031	13893.40753	7814.684817	7499.547823	7205.68999	8271.366356	3160.659002	8609.652249	14289.91713	14151.28022	18085.88957	9720.828629	4416.511735	17103.04489	1897.39142
Pathway205	28321.77997	9029.501418	4558.897873	38849.02349	23014.75797	21800.26822	18163.08545	30247.74346	31652.87641	15056.7476	15626.36386	34611.07448	44558.05902	33921.54311	27390.18745	7021.014906	6910.961361	13976.65435	30788.26834	22290.02245	23520.6949	29352.35376	39071.42116	19911.01399	48393.67985	80671.54996	28163.47214	11823.96043	27255.66411	21063.66543	31991.71605	21407.71258	22466.06253	43415.96469	39568.66954	45620.36636	44093.18056	8929.853831	44799.9488	5547.986937
Pathway206	37553.95836	13030.93488	8265.958346	54195.50057	32866.61368	27302.57776	27053.10092	45436.8859	45824.38542	20651.10797	23655.96967	45406.16477	66303.87622	49881.37655	34502.64877	10906.75303	12156.8966	21277.78242	41124.3768	24502.64222	31166.57101	35999.49376	43678.88759	21993.35169	60735.76493	85018.04168	35792.94877	16730.88338	30180.22288	26432.91499	43321.19322	26452.30786	25895.72277	49815.36144	55824.57793	61341.77073	52650.67231	11646.57319	51534.66245	7982.04205
Pathway207	106.0367561	0	24.2075115	201.3530234	19.8519237	18.38295626	52.27628755	27.0837493	96.33493187	4.028860824	11.13801453	53.23246325	0	52.77060595	20.32367413	7.263922518	19.35480211	35.83535109	24.19349757	20.22262402	119.6271322	222.1068705	119.1793608	47.47236725	30.9780192	0	100.2211589	11.95074864	55.82512093	9.200968523	14.24142944	20.33204852	11.60660523	860.8517921	388.3315846	755.9129306	117.1342547	71.50260277	58.33514095	11.13801453
Pathway208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.92530446	0	0	0	0	0	0	0
Pathway209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway211	4375.546676	1151.977904	599.4955524	6417.465887	3159.310085	3395.753006	1958.203898	1770.503098	3777.648075	560.9422769	1182.675908	3743.231179	5670.974798	5505.019474	4991.23053	781.413612	554.2268747	2094.488962	2522.048871	4990.22052	3060.920977	1375.594046	6531.998329	2326.135809	4880.134542	3845.455275	4756.27003	1158.029399	2400.985188	2175.01972	1058.619151	1051.140953	2061.086397	8313.720896	8118.017491	7159.183999	5283.692851	750.2208452	6012.859838	667.4927386
Pathway212	3700.927828	693.0905608	326.4103725	6017.267733	2455.882473	2985.068105	1275.399786	948.5094015	2504.983347	68.88824319	974.3547729	3101.220985	569.6027791	4401.291021	4315.500287	477.9094071	350.3272381	1207.014764	1745.471531	4205.500222	2135.000284	586.6189887	3523.092555	1575.057445	4275.278526	119.391323	3562.405969	120.9963412	1115.145614	1612.478326	893.5865071	837.8478215	1622.430718	5344.769694	5563.082296	5601.835695	4543.4553	256.5373089	5302.234745	446.7830379
Pathway213	5418.846409	924.3952993	894.6321863	9224.814883	4130.940408	4310.269626	2234.004623	5158.634953	5063.276492	366.0127267	1610.178162	5255.739928	6258.941152	7095.328516	6223.482973	1054.57289	561.5902272	2696.022475	2694.539509	6222.422922	3566.4948	1638.262797	6889.182714	2408.010328	5401.467242	3346.584903	5177.644941	500.9876039	1961.319763	2483.781924	1522.583938	1366.919932	2268.248337	10659.36637	10018.16576	11213.76334	6274.315108	616.3129541	7856.344085	531.0366038
Pathway214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway216	1279.409898	164.889326	99.867873	1811.81238	873.4375164	900.0666484	613.1166297	401.8150969	1261.623344	332.3086063	560.5887983	1074.935893	3677.926236	1626.634194	1449.452809	166.5775133	63.78948073	186.3433868	772.0641922	449.452209	396.9504755	2549.345021	574.3389454	389.8782302	2655.169127	5205.637932	913.8887185	737.6977754	1836.823889	430.7250204	1188.828851	418.5790623	565.7544602	1393.695782	1147.740076	2132.459917	1393.255231	333.0950779	1903.689927	231.1089281
Pathway217	2826.452835	673.1706991	1017.633203	4576.294108	4301.89144	2959.762747	2399.016384	5992.863088	5813.204268	3598.321623	2334.950061	4385.97912	17017.89476	4423.571324	4188.085123	1106.995422	615.6962085	1836.712847	3189.258849	4022.025022	2715.259172	19869.67973	6265.24953	2851.96298	10417.09626	37514.40946	7789.73032	2290.536248	3052.133982	3184.398614	7078.962874	1822.080592	4551.542214	5758.642899	4302.868146	8692.777045	3733.203193	2101.747257	4534.49227	827.1141645
Pathway218	21895.16486	6510.188456	4411.129613	29782.43655	18097.61086	16470.92112	13841.84401	25237.31254	26023.22743	11601.46514	12561.04721	24040.61547	28303.05303	28535.20577	22055.67137	5701.165382	6299.315808	11703.35574	23062.26863	22055.62022	17954.68691	32055.00897	33202.93099	15412.40037	35623.21841	77673.27216	24651.00542	7657.032346	17496.73516	16798.14303	19504.8399	18139.16132	18347.94024	34889.31683	33322.82692	40069.73354	32543.72501	8405.465892	35993.15103	3827.379065
Pathway219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611877693	0	0	0	0	0	0	0	0	0
Pathway221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway223	7832.024006	2606.001675	2421.751835	12323.71865	6998.977727	5037.073616	6388.058045	8186.805133	7732.19821	4582.154686	5950.177068	10233.45917	13534.91372	9951.205681	8014.161015	2057.3724	3913.094858	4217.931396	8511.090176	2004.060005	6447.897255	5045.875931	7633.521375	5159.796017	16814.81815	13089.90084	7013.663964	1860.077573	6441.775263	6427.219165	14157.30917	4958.693701	7036.738672	11144.43266	11436.45039	13442.83823	12554.52666	1567.317347	11111.43381	2811.549994
Pathway224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.593862463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway227	0	0	6.825938567	0	0	0	0	0	0	0	0	0	0	0	0	0	5.119453925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.604863668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway229	0	13.12910284	42.15454591	9.809826017	8.75273523	63.43834401	9.471116448	27.26744965	369.1018509	458.6666496	71.66898466	200.3069462	124.9944486	18.5021699	65.66797862	12.99009937	8.75273523	38.55421687	127.2298705	65.66292262	120.5470714	2526.605999	255.259942	338.6130299	882.4694385	6547.172278	982.896297	339.4163155	40.54174811	165.8223296	406.569047	15.39218097	584.6338994	342.8197926	199.6131737	324.0763111	90.25108076	120.1790482	135.4528923	9.467513857
Pathway230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.620149	0	0	0
Pathway231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.604863668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.604863668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
